INPUT_TABLE
Variable ID
GHGLink_start

"region","linked-ghg-policy","price-adjust-year","price-adjust","demand-adjust-year","demand-adjust","market","linked-policy","price-unit","output-unit"
"Canada","HFC143a",2020,0,2020,4.47,"Canada","GHG","1990$/GgHFC143a","GgHFC143a"
"Canada","HFC152a",2020,0,2020,0.124,"Canada","GHG","1990$/GgHFC152a","GgHFC152a"
"Canada","HFC227ea",2020,0,2020,3.22,"Canada","GHG","1990$/GgHFC227ea","GgHFC227ea"
"Canada","HFC23",2020,0,2020,14.8,"Canada","GHG","1990$/GgHFC23","GgHFC23"
"Canada","HFC236fa",2020,0,2020,9.81,"Canada","GHG","1990$/GgHFC23fa","GgHFC23fa"
"Canada","HFC32",2020,0,2020,0.675,"Canada","GHG","1990$/GgHFC32","GgHFC32"
"Canada","HFC365mfc",2020,0,2020,0.794,"Canada","GHG","1990$/GgHFC365mfc","GgHFC365mfc"
"Central America and Caribbean","CO2",2020,1,2020,3.666666667,"Central America and Caribbean","GHG","1990$/tC","MTC"
"Central America and Caribbean","CH4",2020,0,2020,25,"Central America and Caribbean","GHG","1990$/tCH4","TgCH4"
"Central America and Caribbean","N2O",2020,0,2020,298,"Central America and Caribbean","GHG","1990$/tN2O","TgN2O"
"Central America and Caribbean","C2F6",2020,0,2020,12.2,"Central America and Caribbean","GHG","1990$/tC2F6","GgC2F6"
"Central America and Caribbean","CF4",2020,0,2020,7.39,"Central America and Caribbean","GHG","1990$/tCF4","GgCF4"
"Central America and Caribbean","HFC125",2020,0,2020,3.5,"Central America and Caribbean","GHG","1990$/GgHFC125","GgHFC125"
"Central America and Caribbean","HFC134a",2020,0,2020,1.43,"Central America and Caribbean","GHG","1990$/GgHFC134a","GgHFC134a"
"Central America and Caribbean","HFC245fa",2020,0,2020,1.03,"Central America and Caribbean","GHG","1990$/GgHFC245fa","GgHFC245fa"
"Central America and Caribbean","SF6",2020,0,2020,22.8,"Central America and Caribbean","GHG","1990$/tSF6","GgSF6"
"Central America and Caribbean","CH4_AWB",2020,0,2020,25,"Central America and Caribbean","GHG","1990$/tCH4","TgCH4"
"Central America and Caribbean","CH4_AGR",2020,0,2020,25,"Central America and Caribbean","GHG","1990$/tCH4","TgCH4"
"Central America and Caribbean","N2O_AWB",2020,0,2020,298,"Central America and Caribbean","GHG","1990$/tN2O","TgN2O"
"Central America and Caribbean","N2O_AGR",2020,0,2020,298,"Central America and Caribbean","GHG","1990$/tN2O","TgN2O"
"Central America and Caribbean","CO2_LUC",2020,0.01,2020,3.666666667,"Central America and Caribbean","GHG","1990$/tC","MTC"
"Central America and Caribbean","HFC143a",2020,0,2020,4.47,"Central America and Caribbean","GHG","1990$/GgHFC143a","GgHFC143a"
"Central America and Caribbean","HFC152a",2020,0,2020,0.124,"Central America and Caribbean","GHG","1990$/GgHFC152a","GgHFC152a"
"Central America and Caribbean","HFC227ea",2020,0,2020,3.22,"Central America and Caribbean","GHG","1990$/GgHFC227ea","GgHFC227ea"
"Central America and Caribbean","HFC23",2020,0,2020,14.8,"Central America and Caribbean","GHG","1990$/GgHFC23","GgHFC23"
"Central America and Caribbean","HFC236fa",2020,0,2020,9.81,"Central America and Caribbean","GHG","1990$/GgHFC23fa","GgHFC23fa"
"Central America and Caribbean","HFC32",2020,0,2020,0.675,"Central America and Caribbean","GHG","1990$/GgHFC32","GgHFC32"
"Central America and Caribbean","HFC365mfc",2020,0,2020,0.794,"Central America and Caribbean","GHG","1990$/GgHFC365mfc","GgHFC365mfc"
"Central Asia","CO2",2020,1,2020,3.666666667,"Central Asia","GHG","1990$/tC","MTC"
"Central Asia","CH4",2020,0,2020,25,"Central Asia","GHG","1990$/tCH4","TgCH4"
"Central Asia","N2O",2020,0,2020,298,"Central Asia","GHG","1990$/tN2O","TgN2O"
"Central Asia","C2F6",2020,0,2020,12.2,"Central Asia","GHG","1990$/tC2F6","GgC2F6"
